"","dataword","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"184","basahbasahan",0,0,0,0,0,0,0,0,0,0
"185","off",0,0,0,0,0,0,0,0,0,0
"186","road",0,0,0,0,0,0,0,0,0,0
"187","kali",0,0,0,0,0,0,0,0,0,0
"188","kuning",0,0,0,0,0,0,0,0,0,0
"189","supir",0,0,0,0,0,0,0,0,0,0
"190","jeep",0,0,0,0,0,0,0,0,0,0
"191","bernama",0,0,0,0,0,0,0,0,0,0
"192","lae",0,0,0,0,0,0,0,0,0,0
"193","situmorang",0,0,0,0,0,0,0,0,0,0
"194","yg",0,0,0,0,0,0,0,0,0,0
"195","mengaku",0,0,0,0,0,0,0,0,0,0
"196","orang",0,0,0,0,0,0,0,0,0,0
"197","batak",0,0,0,0,0,0,0,0,0,0
"198","kelahiran",0,0,0,0,0,0,0,0,0,0
"199","sumut",0,0,0,0,0,0,0,0,0,0
"200","menetap",0,0,0,0,0,0,0,0,0,0
"201","sumut",0,0,0,0,0,0,0,0,0,0
"202","masuk",0,0,0,0,0,0,0,0,0,0
"203","btl",0,0,0,0,0,0,0,0,0,0
"204","lae",0,0,0,0,0,0,0,0,0,0
"205","alias",0,0,0,0,0,0,0,0,0,0
"206","batak",0,0,0,0,0,0,0,0,0,0
"207","tembak",0,0,0,0,0,0,0,0,0,0
"208","langsung",0,0,0,0,0,0,0,0,0,0
"209","meninggalkan",0,0,0,0,0,0,0,0,0,0
"210","sumut",0,0,0,0,0,0,0,0,0,0
"211","medan",0,0,0,0,0,0,0,0,0,0
"212","alm",0,0,0,0,0,0,0,0,0,0
"213","nanu",0,0,0,0,0,0,0,0,0,0
"214","warkop",0,0,0,0,0,0,0,0,0,0
"215","hiburan",0,0,0,0,0,0,0,0,0,0
"216","menyenangkan",0,0,0,0,0,0,0,0,0,0
"217","berpetualang",0,0,0,0,0,0,0,0,0,0
"218","jeepjeep",0,0,0,0,0,0,0,0,0,0
"219","tua",0,0,0,0,0,0,0,0,0,0
"220","kabarnya",0,0,0,0,0,0,0,0,0,0
"221","komunitas",0,0,0,0,0,0,0,0,0,0
"222","jeep",0,0,0,0,0,0,0,0,0,0
"223","merapi",0,0,0,0,0,0,0,0,0,0
"224","an",0,0,0,0,0,0,0,0,0,0
"225","jeep",0,0,0,0,0,0,0,0,0,0
"226","yg",0,0,0,0,0,0,0,0,0,0
"227","diperhatikan",0,0,0,0,0,0,0,0,0,0
"228","pengelola",0,0,0,0,0,0,0,0,0,0
"229","mengatur",0,0,0,0,0,0,0,0,0,0
"230","tata",0,0,0,0,0,0,0,0,0,0
"231","kelola",0,0,0,0,0,0,0,0,0,0
"232","parkir",0,0,0,0,0,0,0,0,0,0
"233","pergerakan",0,0,0,0,0,0,0,0,0,0
"234","orang",0,0,0,0,0,0,0,0,0,0
"235","yg",0,0,0,0,0,0,0,0,0,0
"236","turun",0,0,0,0,0,0,0,0,0,0
"237","jeep",0,0,0,0,0,0,0,0,0,0
"238","melihatlihat",0,0,0,0,0,0,0,0,0,0
"239","obyek",0,0,0,0,0,0,0,0,0,0
"240","yg",0,0,0,0,0,0,0,0,0,0
"241","terkesan",0,0,0,0,0,0,0,0,0,0
"242","semrawut",0,0,0,0,0,0,0,0,0,0
"243","jeep",0,0,0,0,0,0,0,0,0,0
"244","areal",0,0,0,0,0,0,0,0,0,0
"245","pakir",0,0,0,0,0,0,0,0,0,0
"246","yg",0,0,0,0,0,0,0,0,0,0
"247","memadai",0,0,0,0,0,0,0,0,0,0
"248","kali",0,0,0,0,0,0,0,0,0,0
"249","lava",1,0,0,1,0,0,0,0,1,0
"250","tourwow",0,0,0,0,0,0,0,0,0,0
"251","keren",0,0,0,0,0,0,0,0,0,0
"252","seru",0,0,0,0,0,0,0,0,0,0
"253","rame",0,0,0,0,0,0,0,0,0,0
"254","sm",0,0,0,0,0,0,0,0,0,0
"255","temen",0,0,0,0,0,0,0,0,0,0
"256","pokok",0,0,0,0,0,0,0,0,0,0
"257","rombongan",0,0,0,0,0,0,0,0,0,0
"258","jgn",0,0,0,0,0,0,0,0,0,0
"259","lupa",0,0,0,0,0,0,0,0,0,0
"260","lava",1,0,0,1,0,0,0,0,1,0
"261","tour",0,0,0,0,0,0,0,0,0,0
"262","dech",0,0,0,0,0,0,0,0,0,0
"263","gunung",0,0,0,0,0,0,0,0,0,0
"264","berapi",0,0,0,0,0,0,0,0,0,0
"265","aktif",0,0,0,0,0,0,0,0,0,0
"266","indonesia",0,0,0,0,0,0,0,0,0,0
"267","menikmati",0,0,0,0,0,0,0,0,0,0
"268","keindahanya",0,0,0,0,0,0,0,0,0,0
"269","dg",0,0,0,0,0,0,0,0,0,0
"270","lavatour",0,0,0,0,0,0,0,0,0,0
"271","menyewa",0,0,0,0,0,0,0,0,0,0
"272","jeep",0,0,0,0,0,0,0,0,0,0
"273","explorer",0,0,0,0,0,0,0,0,0,0
"274","kaki",0,0,0,0,0,0,0,0,0,0
"275","gunung",0,0,0,0,0,0,0,0,0,0
"276","lihat",0,0,0,0,0,0,0,0,0,0
"277","keindahanya",0,0,0,0,0,0,0,0,0,0
"278","cobalah",0,0,0,0,0,0,0,0,0,0
"279","kunjungi",0,0,0,0,0,0,0,0,0,0
"280","keteppass",0,0,0,0,0,0,0,0,0,0
"281","enak",0,0,0,0,0,0,0,0,0,0
"282","merapi",0,0,0,0,0,0,0,0,0,0
"283","pas",0,0,0,0,0,0,0,0,0,0
"284","mash",0,0,0,0,0,0,0,0,0,0
"285","pagi",0,0,0,0,0,0,0,0,0,0
"286","udaranya",0,0,0,0,0,0,0,0,0,0
"287","segarpulangnya",0,0,0,0,0,0,0,0,0,0
"288","lupa",0,0,0,0,0,0,0,0,0,0
"289","mampir",0,0,0,0,0,0,0,0,0,0
"290","sarapan",0,0,0,0,0,0,0,0,0,0
"291","kopi",0,0,0,0,0,0,0,0,0,0
"292","klotok",0,0,0,0,0,0,0,0,0,0
"293","menikmati",0,0,0,0,0,0,0,0,0,0
"294","gunung",0,0,0,0,0,0,0,0,0,0
"295","merapi",0,0,0,0,0,0,0,0,0,0
"296","berbagi",0,0,0,0,0,0,0,0,0,0
"297","aktivitas",0,0,0,0,0,0,0,0,0,0
"298","gardu",0,0,0,0,0,0,0,0,0,0
"299","pandang",0,0,0,0,0,0,0,0,0,0
